Category,Total Tags,Comment,Review Required,
Planning,254,JKN,,
Education,140,JKN/GOV,,
Environment,121,JKN/GOV (Environmental protection),,
Uncategorised,98,,,
Elections / Politics,90,JKN,,
Transport,81,JKN,,
Economy,38,JKN/Gov (Economic affairs),,
Community Services,30,GOV (General Public services),Yes,
Parks / Recreation,22,JKN (Recreation, culture…),
Demographics,16,,Yes,
Public Safety,15,JKN /Gov (Public order and safety),,
Community Amenities,13,Gov – Housing and Community amenities,Yes,
Housing,12,JKN (Real estate), Gov (housing and..),
Budget / Finance,9,JKN,,
Health / Human Services,9,JKN/Gov (health only), not sure what Human Services are,Yes
Arts / Culture / History,9,JKN (Recreation, culture…),
Food,3,JKN,,
